"freq,spdepm,spscheme,spdepb,sex,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,TOTAL,DIS,T,PER,SE",388668 ,373551 ,364112 ,353733 ,339416 ,320768 ,299610 ,282807 ,269617 ,256926 ,255666 p,268374 p
"A,TOTAL,TOTAL,DIS,T,PER,SI",36100 ,35033 ,33528 ,31697 ,29934 ,27170 ,25305 ,23821 ,23707 ,21870 ,20589 ,19474 
"A,TOTAL,TOTAL,DIS,T,PER,SK",240496 ,245679 ,248717 ,251697 ,253856 ,256348 ,261947 ,256376 ,299059 ,294841 ,293743 ,292582 
"A,TOTAL,TOTAL,DIS,T,PER,TR",709826 ,819324 ,805993 ,831437 ,839652 ,847075 ,856446 ,864433 ,852943 ,853647 ,858178 ,859479 
"A,TOTAL,TOTAL,DIS,T,PER,UK",2107530 e,2116120 e,2182960 ,2277583 p,2459710 p,2504593 p,2724103 p,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,DIS,T,PER,XK",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,30307 p,31967 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,AL",: ,: ,: ,: ,: ,: ,70175 ,70501 ,69648 ,68179 ,67167 ,66592 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,AT",280682 ,276223 ,258941 ,240205 ,233957 ,227350 ,219777 ,212534 ,204837 ,192817 ,182003 ,174235 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,BA",: ,82877 ,78724 ,70134 ,70032 ,65240 ,59377 ,54088 ,50734 ,59915 ,56444 ,53883 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,BE",687140 ,709392 ,732378 ,761370 ,791485 ,807358 ,829054 ,863100 ,892474 ,921054 ,942275 ,981200 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,BG",274925 ,281392 ,281061 ,279049 ,278027 ,275966 ,273117 ,260706 ,253950 ,248962 ,247874 ,255352 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,CH",336781 e,332376 e,324104 e,312814 e,308300 e,303252 e,298786 e,295506 e,292308 e,292409 e,289462 e,291737 e
"A,TOTAL,TOTAL,DIS_TOT,T,PER,CY",8956 ,8735 ,8943 ,9094 ,12726 ,15478 ,15633 ,15631 ,15166 ,15196 ,15955 ,15846 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,CZ",403987 ,399144 ,393498 ,394333 ,395370 ,392974 ,388697 ,384143 ,380284 ,377088 ,385699 ,391759 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,DE",2165657 e,2192327 e,2260267 e,2255511 e,2276405 e,2267995 e,2255777 e,2238326 e,2214240 e,2196605 e,2159898 e,2113866 e
"A,TOTAL,TOTAL,DIS_TOT,T,PER,DK",277977 e,268338 e,258714 e,249636 e,242701 e,237670 e,235426 e,242487 e,260202 e,268372 e,286723 ,301057 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,EA20",10801047 p,10785598 e,10864734 e,10884485 e,10942685 e,11001333 e,10945431 e,12257787 e,12276470 e,12220656 p,11850729 p,12222424 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,EA21",11075972 p,11066990 e,11145795 e,11163534 e,11220712 e,11277299 e,11218548 e,12518493 e,12530420 e,12469618 p,12098603 p,12477776 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,EE",98260 ,98246 ,99595 ,101881 ,102223 ,98738 ,101343 ,105535 ,106430 ,106894 ,105926 ,102875 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,EL",114633 ,114376 ,127279 ,132562 ,126797 ,122178 ,121612 ,117576 ,113064 ,108173 p,105692 p,103001 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,ES",1158433 ,1150969 ,1150766 ,1158363 ,1167681 ,1172621 ,1174471 ,1177152 ,1158801 ,1158219 ,1149087 ,1145560 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,EU27_2020",14336522 p,14196172 e,14156461 e,14054139 e,13966480 e,13907322 e,13698267 e,14902642 e,14829418 e,14753441 p,14334158 p,14724169 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,FI",250703 ,241872 ,232475 ,221952 ,214046 ,206048 ,201216 ,197492 ,193629 ,187894 ,182586 ,179731 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,FR",2480000 p,2474000 ,2486000 ,2510635 ,2524240 ,2598668 ,2518110 e,3739479 ,3773501 ,3779319 ,3454465 ,3830068 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,HR",208767 e,198285 e,181663 e,169513 e,159222 e,148445 e,138253 e,126739 e,116612 e,107368 e,99291 e,99111 e
