"freq,lev_limit,unit,geo\TIME_PERIOD",2021 
"A,TOTAL,PC,CZ",33.5 
"A,TOTAL,PC,DE",31.9 
"A,TOTAL,PC,DK",45.0 
"A,TOTAL,PC,EE",41.2 
"A,TOTAL,PC,EL",41.8 
"A,TOTAL,PC,ES",28.6 
"A,TOTAL,PC,EU_V",32.7 e
"A,TOTAL,PC,FI",52.6 
"A,TOTAL,PC,FR",30.2 
"A,TOTAL,PC,HR",28.1 
"A,TOTAL,PC,HU",54.6 
"A,TOTAL,PC,IE",35.0 
"A,TOTAL,PC,LT",30.7 
"A,TOTAL,PC,LU",47.4 
"A,TOTAL,PC,LV",30.1 
"A,TOTAL,PC,ME",20.2 
"A,TOTAL,PC,MT",26.0 
"A,TOTAL,PC,NL",33.4 
"A,TOTAL,PC,PL",19.6 
"A,TOTAL,PC,PT",22.5 
"A,TOTAL,PC,RO",48.9 
"A,TOTAL,PC,RS",21.6 
"A,TOTAL,PC,SE",48.2 
"A,TOTAL,PC,SI",27.9 
"A,TOTAL,PC,SK",50.8 
"A,TOTAL,PC,XK",25.6 
