"freq,lev_limit,unit,geo\TIME_PERIOD",2021 
"A,TOTAL,PC,CZ",14.5 
"A,TOTAL,PC,DE",18.3 
"A,TOTAL,PC,DK",27.6 
"A,TOTAL,PC,EE",26.3 
"A,TOTAL,PC,EL",24.7 
"A,TOTAL,PC,ES",15.9 
"A,TOTAL,PC,EU_V",20.1 e
"A,TOTAL,PC,FI",36.3 
"A,TOTAL,PC,FR",19.4 
"A,TOTAL,PC,HR",15.3 
"A,TOTAL,PC,HU",43.8 
"A,TOTAL,PC,IE",24.1 
"A,TOTAL,PC,LT",17.1 
"A,TOTAL,PC,LU",30.0 
"A,TOTAL,PC,LV",16.9 
"A,TOTAL,PC,ME",7.5 
"A,TOTAL,PC,MT",16.2 
"A,TOTAL,PC,NL",19.9 
"A,TOTAL,PC,PL",11.5 
"A,TOTAL,PC,PT",11.5 
"A,TOTAL,PC,RO",39.2 
"A,TOTAL,PC,RS",11.7 
"A,TOTAL,PC,SE",32.0 
"A,TOTAL,PC,SI",14.9 
"A,TOTAL,PC,SK",32.7 
"A,TOTAL,PC,XK",6.4 
