"freq,spscheme,spdep,spdepm,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,CASH,MT,MIO_EUR,EEA_X_LI",37685.94 ,39172.57 ,40717.29 ,41304.72 b,43073.43 ,44289.87 ,46401.34 ,49425.49 ,54733.28 p,57609.61 p,60788.75 p,65977.81 p
"A,TOTAL,CASH,MT,MIO_EUR,EFTA_X_LI",1068.31 ,1067.06 ,1115.58 ,948.25 ,1026.48 ,1002.28 ,1009.37 ,1089.21 ,1135.93 ,1203.79 ,1340.16 p,1426.65 p
"A,TOTAL,CASH,MT,MIO_EUR,EL",111.33 ,102.19 ,70.56 ,17.48 ,10.91 ,3.75 ,1.62 ,0.29 ,: ,: ,: ,: 
"A,TOTAL,CASH,MT,MIO_EUR,ES",2153.79 ,2375.7 ,2322.98 ,2068.32 ,2031.53 ,1919.56 ,1976.81 ,2043.55 ,2049.78 ,2085.6 ,2221.79 ,2420.63 p
"A,TOTAL,CASH,MT,MIO_EUR,EU15",42433.73 ,42770.85 ,46697.31 ,49777.34 ,51472.87 ,52871.25 ,52036.89 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,MT,MIO_EUR,EU27_2007",42647.78 ,42990.3 ,46948.18 ,50073.65 b,51815.32 ,53265.29 ,52486.32 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,MT,MIO_EUR,EU27_2020",37179.64 ,38663.31 ,40185.19 ,41026.56 b,42719.52 ,43992.54 ,46096.07 ,49097.51 ,54414.48 p,57252.21 p,60388.35 p,65544.25 p
"A,TOTAL,CASH,MT,MIO_EUR,EU28",42751.46 ,43095.08 ,47051.44 ,50174.91 b,51920.5 ,53376.05 ,52619.25 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,MT,MIO_EUR,FI",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,CASH,MT,MIO_EUR,FR",8121.09 ,8513.79 ,8771.46 ,9140.71 ,9378.75 ,9699.2 ,10048.08 ,10722.81 ,11467.76 ,11631.55 ,12390.59 ,13199.2 p
"A,TOTAL,CASH,MT,MIO_EUR,HR",103.68 ,104.78 ,103.26 ,101.27 ,105.19 ,110.76 ,132.93 ,156.94 ,170.01 ,187.71 ,45.31 ,46.56 
"A,TOTAL,CASH,MT,MIO_EUR,HU",3.3 ,0.28 ,0 ,0 b,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,CASH,MT,MIO_EUR,IE",1113.64 ,1165.83 ,1263.14 ,1306.66 ,1383.2 ,1493.96 ,1610.7 ,1729.63 ,1835.47 ,1852.14 ,2038.73 ,2197.32 
"A,TOTAL,CASH,MT,MIO_EUR,IS",209.31 ,222.56 ,253.46 ,278.16 ,353.91 ,297.33 ,305.27 ,327.98 ,318.8 ,357.41 ,400.4 ,433.56 
"A,TOTAL,CASH,MT,MIO_EUR,IT",3920 ,4112 ,4350 ,4429 ,4833 ,4863 ,5218 ,5521 ,6406 ,7284 p,7432 p,7873 p
"A,TOTAL,CASH,MT,MIO_EUR,LT",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 p,0 p,0 ,0 
"A,TOTAL,CASH,MT,MIO_EUR,LU",33.37 ,36.86 ,40.61 ,41.76 ,42.54 ,44.07 ,45.26 ,47.88 ,49.31 ,51.14 ,53.5 ,62.06 
"A,TOTAL,CASH,MT,MIO_EUR,LV",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 p,5.63 ,13.61 
"A,TOTAL,CASH,MT,MIO_EUR,ME",: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 p
"A,TOTAL,CASH,MT,MIO_EUR,MK",: ,: ,: ,5.9 ,6.41 ,6.95 ,: ,: ,: ,: ,: ,: 
"A,TOTAL,CASH,MT,MIO_EUR,MT",12.96 ,13.96 ,15.33 ,16.53 ,18.41 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,CASH,MT,MIO_EUR,NO",296.99 ,286.7 ,278.63 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: 
"A,TOTAL,CASH,MT,MIO_EUR,PL",35.14 ,32.7 ,44.79 ,66.44 ,81.57 ,115.35 ,112.88 ,167.34 ,519.46 ,499.8 ,499.27 ,522.29 
"A,TOTAL,CASH,MT,MIO_EUR,PT",152.18 ,155.27 ,157.44 ,159.78 ,160.77 ,176.33 ,216.64 ,269.62 ,313.9 ,396.84 ,396.99 ,454.22 
"A,TOTAL,CASH,MT,MIO_EUR,RO",14.14 ,14.85 ,23.45 ,44.76 ,54.98 ,86.29 ,118.01 ,144.04 ,154.42 ,176.84 ,356.92 ,556.21 
"A,TOTAL,CASH,MT,MIO_EUR,RS",23.76 ,23.97 ,22.35 ,20.83 ,19.27 ,18.55 ,20.82 ,42.58 ,42.72 ,136.78 ,154.41 ,174.15 
"A,TOTAL,CASH,MT,MIO_EUR,SI",8.11 ,9.96 ,9.63 ,9.11 ,8.78 ,3.2 ,2.83 ,2.6 ,2.31 p,2.42 p,2.41 ,2.57 
"A,TOTAL,CASH,MT,MIO_EUR,SK",140.39 ,147.68 ,156.72 ,159.46 ,159.47 ,158.5 ,156.14 ,159.92 ,240.93 ,176.82 ,195.4 ,280.94 
"A,TOTAL,CASH,MT,MIO_EUR,TR",858.84 ,950.89 ,943.3 ,996.9 ,1005.28 ,1034.4 ,728.62 ,859.6 ,779.59 ,683 ,689.17 ,830.31 
"A,TOTAL,CASH,MT,MIO_EUR,UK",5571.82 ,4431.77 ,6866.24 ,9148.35 ,9200.98 ,9383.51 ,6523.18 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,NMT,MIO_EUR,AL",: ,: ,: ,: ,: ,: ,191.75 ,200.2 ,217.87 ,214.66 ,236.4 ,265.47 
"A,TOTAL,CASH,NMT,MIO_EUR,AT",4755.95 ,4751.59 ,4754.25 ,4711.12 ,4661.87 ,4593.39 ,4576.9 ,4534.17 ,4507.33 ,4373.76 ,4264.05 ,4368.73 
"A,TOTAL,CASH,NMT,MIO_EUR,BA",: ,344.27 ,346.85 ,359.65 ,370.62 ,366.21 ,344.66 ,349.15 ,350.46 ,337.69 ,348.55 ,438.65 
"A,TOTAL,CASH,NMT,MIO_EUR,BE",4706.25 ,5377.4 ,5639.91 ,6026.85 ,6448.36 ,6599.82 ,7093.35 ,7482.31 ,8019.91 ,8454.95 ,9357.85 ,10251.04 
"A,TOTAL,CASH,NMT,MIO_EUR,BG",437.36 ,476.54 ,488.46 ,499.79 ,504.54 ,525.35 ,540.7 ,674.33 ,718.45 ,787.48 ,984.28 ,1265.86 
"A,TOTAL,CASH,NMT,MIO_EUR,CH",7561.76 ,7271.15 ,7294.6 ,8227.03 ,8040.47 ,7893.91 ,7588.72 ,7961.81 ,8271.74 ,8331.13 ,8900.16 p,9485.5 p
"A,TOTAL,CASH,NMT,MIO_EUR,CY",111.41 ,105.68 ,100.9 ,101.28 ,101.22 ,99.29 ,78.69 ,82.45 ,82.55 ,81.92 ,85.39 ,87 
"A,TOTAL,CASH,NMT,MIO_EUR,CZ",1997.47 ,1899.01 ,1756.69 ,1840.29 ,1864.45 ,1943.29 ,2021.58 ,2180.85 ,2316.02 ,2387.04 ,2818.12 ,3239.86 
"A,TOTAL,CASH,NMT,MIO_EUR,DE",28488.36 ,29739.28 ,30694.67 ,31906.37 ,33331.24 ,35271.92 ,36560.97 ,37919.01 ,39343.76 ,40637.31 ,42072.45 ,43850.21 p
"A,TOTAL,CASH,NMT,MIO_EUR,DK",1218.56 ,1446.48 ,1506.08 ,1511.07 ,1234.46 ,1496.38 ,1484.78 ,1595.98 ,1616.99 ,1481.77 ,1577.31 ,1610.37 p
"A,TOTAL,CASH,NMT,MIO_EUR,EA19",114453.75 ,117829.55 ,119503.82 ,120657.93 ,124455.07 ,127443.57 ,130151.17 ,133915.11 ,135926.43 p,138341.39 p,142528.16 p,151641.48 p
"A,TOTAL,CASH,NMT,MIO_EUR,EA20",115447.51 ,118804.92 ,120414.35 ,121574.59 ,125296.29 ,128291.95 ,130993.82 ,134736.16 ,136705.18 p,139090.28 p,143459.45 p,152724.18 p
"A,TOTAL,CASH,NMT,MIO_EUR,EA21",115884.87 ,119281.46 ,120902.82 ,122074.38 ,125800.83 ,128817.3 ,131534.53 ,135410.5 ,137423.63 p,139877.77 p,144443.73 p,153990.04 p
"A,TOTAL,CASH,NMT,MIO_EUR,EE",264.58 ,281.13 ,292.59 ,312.84 ,332.86 ,360.92 ,395.02 ,429.24 ,469.42 ,468.14 ,471.5 ,508.61 
"A,TOTAL,CASH,NMT,MIO_EUR,EEA_X_LI",147746.44 p,150686.6 p,151161.77 p,152859.22 p,156144.11 p,159878.09 p,162141.18 p,165479.24 p,166550.72 p,170903.95 p,176950.58 p,187604.78 p
"A,TOTAL,CASH,NMT,MIO_EUR,EFTA_X_LI",21660.61 ,21072.16 ,20497.1 ,22126.95 ,21816.83 ,22128.9 ,21772.28 ,22172.21 ,21851.29 ,23474.57 ,25105.59 p,25071.13 p
"A,TOTAL,CASH,NMT,MIO_EUR,EL",3199.86 ,2832.46 ,2825.2 ,1833.41 ,1847.51 ,1788.04 ,1685.09 ,1891.36 ,1820.78 ,1837.36 ,1830.25 ,1915.99 p
"A,TOTAL,CASH,NMT,MIO_EUR,ES",13906.25 ,14073.8 ,14091.22 ,13969.27 ,14175.22 ,14386.59 ,14621.85 ,15075.16 ,14888.66 ,15373.92 ,15824.63 ,16946.82 p
"A,TOTAL,CASH,NMT,MIO_EUR,EU15",141557.49 p,142804.32 p,147239.11 p,151794.36 p,153079.42 p,155885.25 p,158658.3 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,NMT,MIO_EUR,EU27_2007",154360.98 p,155448.35 p,159786.45 p,164469.94 p,165997.99 p,169184.43 p,172151.11 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,NMT,MIO_EUR,EU27_2020",133647.58 p,136885.58 p,137959.27 p,138959.31 p,142367.75 p,145643.1 p,147957.63 p,151268.85 p,152971.16 p,155760.5 p,160745.14 p,172019.14 p
"A,TOTAL,CASH,NMT,MIO_EUR,EU28",155354.74 p,156423.72 p,160696.99 p,165386.59 p,166839.21 p,170032.81 p,172993.76 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,NMT,MIO_EUR,FI",4378.41 ,4400.63 ,4299.87 ,4160.08 ,4039.56 ,3910.2 ,3863.05 ,3841.98 ,3873.12 ,3846.08 ,3895.31 ,4103.21 
"A,TOTAL,CASH,NMT,MIO_EUR,FR",16172.06 ,16654.11 ,16917.72 ,17407.1 ,19111.87 ,19606.82 ,19890.46 ,20178.31 ,20272.45 ,20484.03 ,20645.32 ,21903.69 p
"A,TOTAL,CASH,NMT,MIO_EUR,HR",993.76 ,975.37 ,910.54 ,916.65 ,841.22 ,848.38 ,842.65 ,821.05 ,778.75 ,748.89 ,931.29 ,1082.7 
"A,TOTAL,CASH,NMT,MIO_EUR,HU",1355.92 ,1291.14 ,1184.97 ,1249.45 b,1220.13 ,1206.08 ,1150.42 ,1122.74 ,1019.8 ,1088.32 ,1097.82 ,1258.8 
"A,TOTAL,CASH,NMT,MIO_EUR,IE",691.12 ,800.11 ,747.21 ,746.26 ,741.39 ,773.86 ,797.59 ,829.92 ,862.87 ,832.01 ,867.84 ,898.05 
"A,TOTAL,CASH,NMT,MIO_EUR,IS",90.69 ,99.75 ,114.07 ,129.48 ,145.46 ,321.96 ,331.71 ,335.94 ,342.56 ,354.28 ,410.69 ,448.27 
"A,TOTAL,CASH,NMT,MIO_EUR,IT",20353 ,20896 ,21187 ,21317 ,21322 ,21271 ,21451 ,21778 ,21232 ,21017 p,21500 p,22404 p
"A,TOTAL,CASH,NMT,MIO_EUR,LT",424 ,404.2 ,408.07 ,411.84 ,422.12 ,457.43 ,505.87 ,546.94 ,573.06 p,599.58 p,664.94 ,697.08 
"A,TOTAL,CASH,NMT,MIO_EUR,LU",708.86 ,732.22 ,742.66 ,747.94 ,760.82 ,773.95 ,760.66 ,787.8 ,832.51 ,826.11 ,854.28 ,934.74 
"A,TOTAL,CASH,NMT,MIO_EUR,LV",203.67 ,210.34 ,230.69 ,243.1 ,245.2 ,260.39 ,275.14 ,288.12 ,312.78 ,382.08 p,408.79 ,450.03 
"A,TOTAL,CASH,NMT,MIO_EUR,ME",: ,: ,: ,: ,55.91 ,57.21 ,58.39 ,59.3 ,59.67 ,58.63 ,65.59 ,85.93 p
"A,TOTAL,CASH,NMT,MIO_EUR,MK",: ,: ,: ,116.17 ,118.24 ,121.77 ,: ,: ,: ,: ,: ,: 
"A,TOTAL,CASH,NMT,MIO_EUR,MT",24.93 ,25.53 ,25.65 ,24.38 ,24.91 ,42.72 ,45.21 ,47.35 ,50.77 ,51.4 ,57.38 ,61.93 
"A,TOTAL,CASH,NMT,MIO_EUR,NL",12053 ,12230 ,12403 ,12601 ,12800 ,13130 ,13439 ,13882 ,14484 ,14745 ,15277 ,17502 
"A,TOTAL,CASH,NMT,MIO_EUR,NO",14008.16 ,13701.26 ,13088.44 ,13770.43 ,13630.9 ,13913.03 ,13851.84 ,13874.46 ,13237 ,14789.16 ,15794.74 ,15137.37 
"A,TOTAL,CASH,NMT,MIO_EUR,PL",5255.57 ,5248.75 ,5388.54 ,5288.16 ,5560.85 ,5802.82 ,5756.61 ,5173.65 ,4956.93 ,5353.1 ,5258.29 ,5971.4 
"A,TOTAL,CASH,NMT,MIO_EUR,PT",2776.07 ,3066.82 ,2899.12 ,2897.36 ,2854.48 ,2880.22 ,2872.44 ,3034.15 ,2994.93 ,3056.61 ,3147 ,3228.39 
"A,TOTAL,CASH,NMT,MIO_EUR,RO",1492.59 ,1453.47 ,1426.69 ,1463.71 ,1407.86 ,1363.9 ,1484.69 ,1543.52 ,1491.41 ,1447.63 ,1517.26 ,1821.86 
"A,TOTAL,CASH,NMT,MIO_EUR,RS",526.34 ,518.15 ,514.11 ,431.51 ,410.43 ,418.6 ,411.01 ,412.7 ,430.79 ,346.35 ,372.54 ,415.16 
"A,TOTAL,CASH,NMT,MIO_EUR,SE",6442.6 p,6265.27 p,5793.48 p,5532.26 p,5279.18 p,5013.34 p,4525.02 p,4241.63 p,4146.38 p,4124.87 p,4032.61 p,4126.83 p
"A,TOTAL,CASH,NMT,MIO_EUR,SI",451 ,436.54 ,414.52 ,398.4 ,377.33 ,338.1 ,333.87 ,357.24 ,364.75 p,368.4 p,383.24 ,399.6 
"A,TOTAL,CASH,NMT,MIO_EUR,SK",784.98 ,811.71 ,829.56 ,842.32 ,857.1 ,898.91 ,905.01 ,929.6 ,940.78 ,905.73 ,920.95 ,1130.35 
"A,TOTAL,CASH,NMT,MIO_EUR,TR",620.78 ,624.43 ,615.63 ,653.7 ,778.48 ,652.36 ,541.96 ,519.71 ,456.96 ,399.07 ,387.26 ,449.43 
"A,TOTAL,CASH,NMT,MIO_EUR,UK",21707.16 ,19538.14 ,22737.72 ,26427.28 ,24471.46 ,24389.71 ,25036.14 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,TOTAL,MIO_EUR,AL",: ,: ,: ,: ,: ,: ,191.75 ,200.2 ,217.87 ,214.66 ,236.4 ,265.47 
"A,TOTAL,CASH,TOTAL,MIO_EUR,AT",5054.54 ,5073.12 ,5080.52 ,5032.6 ,4988.38 ,4923.92 ,4904.62 ,4861.96 ,4859.36 ,4721.52 ,4605.36 ,4741.47 
"A,TOTAL,CASH,TOTAL,MIO_EUR,BA",: ,344.27 ,346.87 ,361.92 ,372.38 ,369.09 ,346.77 ,351.34 ,352.07 ,339.36 ,349.96 ,440.62 
"A,TOTAL,CASH,TOTAL,MIO_EUR,BE",6061.29 ,6765.23 ,7064.64 ,7407.17 ,7886.23 ,8092.56 ,8774.29 ,9296.53 ,9900.1 ,10492.07 ,11795.66 ,12985.54 
"A,TOTAL,CASH,TOTAL,MIO_EUR,BG",437.36 ,476.54 ,489.4 ,499.8 ,504.54 ,525.35 ,540.71 ,674.35 ,718.45 ,787.49 ,984.29 ,1265.88 
"A,TOTAL,CASH,TOTAL,MIO_EUR,CH",8123.77 ,7828.95 ,7878.08 ,8897.12 ,8713.05 ,8598.86 ,8292.82 ,8723.05 ,9088.86 ,9177.51 ,9839.92 p,10478.59 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,CY",111.41 ,105.68 ,100.9 ,101.28 ,120.45 ,129.99 ,117.56 ,123.91 ,122.89 ,123.18 ,132.2 ,135.03 
"A,TOTAL,CASH,TOTAL,MIO_EUR,CZ",1997.47 ,1899.01 ,1756.69 ,1840.29 ,1864.45 ,1943.29 ,2042.28 ,2198.93 ,2334.05 ,2405.13 ,2836.55 ,3257.9 
"A,TOTAL,CASH,TOTAL,MIO_EUR,DE",41531.37 ,43151.67 ,44970.07 ,46805.25 ,49051.88 ,51637.67 ,53660.76 ,56122.9 ,59936.57 ,62086.7 ,64391.03 ,68046.92 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,DK",7778.43 ,8202.17 ,8334.56 ,8375.67 ,8180.63 ,8595.23 ,8772.93 ,9322.4 ,9938.72 ,10495.52 ,11164.19 ,12155.98 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EA19",144917.26 ,149584.55 ,152688.09 ,154607.42 ,159986.68 ,164024.86 ,168574.58 ,174799.78 ,181157.24 p,185697.41 p,192409.71 p,205496.99 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EA20",146014.7 ,150664.71 ,153701.89 ,155625.34 ,160933.09 ,164984 ,169550.16 ,175777.77 ,182106.01 p,186634.01 p,193386.3 p,206626.26 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EA21",146452.06 ,151141.25 ,154191.29 ,156125.14 ,161437.63 ,165509.35 ,170090.86 ,176452.12 ,182824.46 p,187421.5 p,194370.6 p,207892.13 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EE",264.58 ,281.13 ,292.59 ,312.84 ,332.86 ,360.92 ,395.02 ,429.24 ,469.42 ,468.14 ,471.5 ,508.61 
"A,TOTAL,CASH,TOTAL,MIO_EUR,EEA_X_LI",185432.37 p,189859.17 p,191879.06 p,194163.94 p,199217.54 p,204167.96 p,208542.53 p,214904.74 p,221284 p,228513.56 p,237739.33 p,253582.58 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EFTA_X_LI",22728.92 ,22139.22 ,21612.68 ,23075.2 ,22843.31 ,23131.18 ,22781.65 ,23261.42 ,22987.22 ,24678.36 ,26445.75 p,26497.78 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EL",3311.19 ,2934.65 ,2895.76 ,1850.89 ,1858.43 ,1791.8 ,1686.72 ,1891.66 ,1820.78 ,1837.36 ,1830.25 ,1915.99 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,ES",16060.04 ,16449.5 ,16414.2 ,16037.59 ,16206.75 ,16306.15 ,16598.66 ,17118.7 ,16938.44 ,17459.52 ,18046.42 ,19367.45 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EU15",183991.22 p,185575.17 p,193936.42 p,201571.7 p,204552.3 p,208756.5 p,210695.19 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,TOTAL,MIO_EUR,EU27_2007",197008.76 p,198438.65 p,206734.63 p,214543.58 p,217813.3 p,222449.72 p,224637.43 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,TOTAL,MIO_EUR,EU27_2020",170827.22 p,175548.9 p,178144.47 p,179985.87 p,185087.27 p,189635.64 p,194053.7 p,200366.36 p,207385.64 p,213012.71 p,221133.5 p,237563.39 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,EU28",198106.2 p,199518.8 p,207748.43 p,215561.5 p,218759.71 p,223408.86 p,225613.01 p,: ,: ,: ,: ,: 
"A,TOTAL,CASH,TOTAL,MIO_EUR,FI",4378.41 ,4400.63 ,4299.87 ,4160.08 ,4039.56 ,3910.2 ,3863.05 ,3841.98 ,3873.12 ,3846.08 ,3895.31 ,4103.21 
"A,TOTAL,CASH,TOTAL,MIO_EUR,FR",24293.15 ,25167.91 ,25689.19 ,26547.81 ,28490.62 ,29306.02 ,29938.54 ,30901.12 ,31740.21 ,32115.58 ,33035.91 ,35102.89 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,HR",1097.44 ,1080.16 ,1013.8 ,1017.92 ,946.41 ,959.14 ,975.58 ,978 ,948.76 ,936.6 ,976.6 ,1129.27 
"A,TOTAL,CASH,TOTAL,MIO_EUR,HU",1359.22 ,1291.42 ,1184.97 ,1249.45 b,1220.13 ,1206.08 ,1150.42 ,1122.74 ,1019.8 ,1088.32 ,1097.82 ,1258.8 
"A,TOTAL,CASH,TOTAL,MIO_EUR,IE",1804.76 ,1965.95 ,2010.35 ,2052.92 ,2124.59 ,2267.82 ,2408.29 ,2559.55 ,2698.34 ,2684.14 ,2906.57 ,3095.37 
"A,TOTAL,CASH,TOTAL,MIO_EUR,IS",300 ,322.31 ,367.53 ,407.64 ,499.36 ,619.29 ,636.98 ,663.91 ,661.36 ,711.69 ,811.09 ,881.82 
"A,TOTAL,CASH,TOTAL,MIO_EUR,IT",24273 ,25008 ,25537 ,25746 ,26155 ,26134 ,26669 ,27299 ,27638 ,28301 p,28932 p,30277 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,LT",424 ,404.2 ,408.07 ,411.84 ,422.12 ,457.43 ,505.87 ,546.94 ,573.06 p,599.58 p,664.94 ,697.08 
"A,TOTAL,CASH,TOTAL,MIO_EUR,LU",742.23 ,769.08 ,783.27 ,789.69 ,803.36 ,818.02 ,805.93 ,835.68 ,881.82 ,877.24 ,907.78 ,996.8 
"A,TOTAL,CASH,TOTAL,MIO_EUR,LV",203.67 ,210.34 ,230.69 ,243.1 ,245.2 ,260.39 ,275.14 ,288.12 ,312.78 ,382.08 p,414.42 ,463.63 
"A,TOTAL,CASH,TOTAL,MIO_EUR,ME",: ,: ,: ,: ,55.91 ,57.21 ,58.39 ,59.3 ,59.67 ,58.63 ,65.59 ,85.93 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,MK",: ,: ,: ,122.07 ,124.64 ,128.72 ,: ,: ,: ,: ,: ,: 
"A,TOTAL,CASH,TOTAL,MIO_EUR,MT",37.9 ,39.49 ,40.98 ,40.91 ,43.32 ,42.72 ,45.21 ,47.35 ,50.77 ,51.4 ,57.38 ,61.93 
"A,TOTAL,CASH,TOTAL,MIO_EUR,NL",12053 ,12230 ,12403 ,12601 ,12800 ,13130 ,13439 ,13882 ,14484 ,14745 ,15277 ,17502 
"A,TOTAL,CASH,TOTAL,MIO_EUR,NO",14305.15 ,13987.96 ,13367.06 ,13770.43 ,13630.9 ,13913.03 ,13851.84 ,13874.46 ,13237 ,14789.16 ,15794.74 ,15137.37 
"A,TOTAL,CASH,TOTAL,MIO_EUR,PL",5290.71 ,5281.45 ,5433.34 ,5354.6 ,5642.42 ,5918.17 ,5869.49 ,5340.99 ,5476.39 ,5852.89 ,5757.56 ,6493.69 
"A,TOTAL,CASH,TOTAL,MIO_EUR,PT",2928.25 ,3222.09 ,3056.56 ,3057.14 ,3015.25 ,3056.54 ,3089.08 ,3303.77 ,3308.82 ,3453.45 ,3543.99 ,3682.61 
"A,TOTAL,CASH,TOTAL,MIO_EUR,RO",1506.74 ,1468.32 ,1450.14 ,1508.46 ,1462.84 ,1450.19 ,1602.71 ,1687.56 ,1645.83 ,1624.47 ,1874.18 ,2378.07 
"A,TOTAL,CASH,TOTAL,MIO_EUR,RS",550.1 ,542.12 ,536.46 ,452.33 ,429.7 ,437.14 ,431.83 ,455.27 ,473.5 ,483.13 ,526.95 ,589.32 
"A,TOTAL,CASH,TOTAL,MIO_EUR,SE",6442.6 p,6265.27 p,5793.48 p,5532.26 p,5279.18 p,5013.34 p,4525.02 p,4241.63 p,4146.38 p,4124.87 p,4032.61 p,4126.83 p
"A,TOTAL,CASH,TOTAL,MIO_EUR,SI",459.11 ,446.5 ,424.15 ,407.51 ,386.11 ,341.3 ,336.7 ,359.85 ,367.06 p,370.82 p,385.65 ,402.18 
"A,TOTAL,CASH,TOTAL,MIO_EUR,SK",925.38 ,959.4 ,986.28 ,1001.79 ,1016.56 ,1057.41 ,1061.14 ,1089.51 ,1181.71 ,1082.55 ,1116.35 ,1411.29 
"A,TOTAL,CASH,TOTAL,MIO_EUR,TR",1479.61 ,1575.31 ,1558.93 ,1650.6 ,1783.76 ,1686.76 ,1270.57 ,1379.31 ,1236.55 ,1082.07 ,1076.43 ,1279.74 
"A,TOTAL,CASH,TOTAL,MIO_EUR,UK",27278.98 ,23969.91 ,29603.96 ,35575.63 ,33672.44 ,33773.22 ,31559.31 p,: ,: ,: ,: ,: 
