"freq,spscheme,spdep,spdepm,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,CASH,MT,MIO_EUR,AT",298.6 ,321.53 ,326.27 ,321.48 ,326.52 ,330.53 ,327.72 ,327.79 ,352.03 ,347.76 ,341.31 ,372.74 
"A,TOTAL,CASH,MT,MIO_EUR,BA",: ,0.01 ,0.02 ,2.26 ,1.76 ,2.88 ,2.12 ,2.18 ,1.61 ,1.67 ,1.41 ,1.98 
"A,TOTAL,CASH,MT,MIO_EUR,BE",1355.04 ,1387.83 ,1424.73 ,1380.32 ,1437.87 ,1492.74 ,1680.94 ,1814.22 ,1880.18 ,2037.12 ,2437.81 ,2734.5 
"A,TOTAL,CASH,MT,MIO_EUR,BG",0.01 ,0 ,0.94 ,0.01 ,0 ,0 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.02 
"A,TOTAL,CASH,MT,MIO_EUR,CH",562.01 ,557.8 ,583.49 ,670.09 ,672.57 ,704.95 ,704.1 ,761.24 ,817.13 ,846.38 ,939.76 p,993.09 p
"A,TOTAL,CASH,MT,MIO_EUR,CY",0 ,0 ,0 ,0 ,19.23 ,30.7 ,38.87 ,41.46 ,40.34 ,41.26 ,46.81 ,48.04 
"A,TOTAL,CASH,MT,MIO_EUR,CZ",: ,: ,: ,: ,: ,: ,20.69 ,18.08 ,18.03 ,18.09 ,18.43 ,18.04 
"A,TOTAL,CASH,MT,MIO_EUR,DE",13043.01 ,13412.39 ,14275.4 ,14898.88 ,15720.64 ,16365.75 ,17099.8 ,18203.89 ,20592.81 ,21449.38 ,22318.58 ,24196.71 p
"A,TOTAL,CASH,MT,MIO_EUR,DK",6559.87 ,6755.69 ,6828.48 ,6864.6 ,6946.17 ,7098.85 ,7288.15 ,7726.43 ,8321.73 ,9013.74 ,9586.87 ,10545.61 p
"A,TOTAL,CASH,MT,MIO_EUR,EA19",30463.51 ,31755 ,33184.27 ,33949.49 ,35531.61 ,36581.29 ,38423.41 ,40884.66 ,45230.81 p,47356.02 p,49881.55 p,53855.51 p
"A,TOTAL,CASH,MT,MIO_EUR,EA20",30567.19 ,31859.78 ,33287.53 ,34050.76 ,35636.8 ,36692.05 ,38556.33 ,41041.61 ,45400.82 p,47543.73 p,49926.85 p,53902.08 p
"A,TOTAL,CASH,MT,MIO_EUR,EA21",30567.19 ,31859.79 ,33288.48 ,34050.76 ,35636.8 ,36692.05 ,38556.34 ,41041.62 ,45400.83 p,47543.74 p,49926.86 p,53902.1 p
"A,TOTAL,CASH,MT,MIO_EUR,EE",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
